education,gender,marital_status,occupation,race,workclass,age,hours_per_week,income
Some-college,Female,Divorced,White-Collar,Other,Private,27,36,0
HS-grad,Male,Single,Service,White,Private,24,25,0
Masters,Male,Single,White-Collar,White,Private,27,37,0
Bachelors,Male,Divorced,White-Collar,Other,Private,53,50,0
Some-college,Male,Married,Service,Other,Private,45,55,1
Doctorate,Male,Single,Professional,White,Private,30,60,0
Some-college,Female,Single,Sales,White,Private,22,30,0
Assoc,Female,Married,Service,White,Private,58,35,0
Some-college,Male,Single,Sales,White,Private,24,50,0
Bachelors,Female,Married,Professional,Other,Government,26,40,1
Some-college,Male,Married,Blue-Collar,White,Private,39,50,0
HS-grad,Male,Married,Other/Unknown,White,Other/Unknown,64,10,0
HS-grad,Female,Divorced,Service,White,Government,30,32,0
Assoc,Male,Single,Sales,White,Private,27,42,0
School,Male,Married,Blue-Collar,White,Private,48,40,0
Some-college,Female,Divorced,White-Collar,White,Private,54,40,0
Bachelors,Female,Single,White-Collar,White,Private,26,45,0
Doctorate,Male,Single,Professional,White,Self-Employed,36,30,1
Some-college,Female,Single,Service,Other,Private,21,40,1
Some-college,Female,Single,White-Collar,White,Private,30,30,0
School,Male,Divorced,Other/Unknown,White,Other/Unknown,67,3,0
HS-grad,Male,Married,Sales,White,Private,54,40,1
Prof-school,Male,Married,Professional,White,Self-Employed,59,40,1
HS-grad,Female,Divorced,Service,White,Private,36,30,0
Bachelors,Female,Single,Professional,White,Government,26,40,0
Some-college,Female,Single,White-Collar,White,Private,70,6,0
HS-grad,Male,Single,Service,White,Private,23,50,0
HS-grad,Male,Married,Blue-Collar,White,Private,36,45,1
Masters,Female,Married,White-Collar,White,Government,52,44,1
School,Male,Married,Blue-Collar,White,Self-Employed,53,40,0
Some-college,Male,Married,Service,White,Private,43,40,1
HS-grad,Female,Single,Blue-Collar,White,Private,27,40,0
Bachelors,Male,Separated,Blue-Collar,White,Self-Employed,40,50,0
Bachelors,Female,Single,White-Collar,White,Private,30,45,1
School,Female,Single,Sales,White,Private,17,6,0
Masters,Male,Married,White-Collar,White,Private,40,50,1
Some-college,Male,Single,Other/Unknown,Other,Other/Unknown,35,30,0
Some-college,Female,Married,Blue-Collar,White,Self-Employed,38,15,0
Bachelors,Male,Married,White-Collar,White,Government,38,37,0
Masters,Male,Married,White-Collar,White,Private,45,60,1
Assoc,Female,Single,Service,White,Private,38,40,0
Some-college,Female,Single,Sales,White,Private,20,40,0
Bachelors,Male,Single,Sales,White,Private,35,55,0
Doctorate,Male,Married,Professional,White,Government,57,40,1
School,Male,Divorced,Blue-Collar,White,Private,60,48,0
HS-grad,Male,Divorced,Blue-Collar,White,Private,33,20,0
HS-grad,Male,Single,White-Collar,White,Private,25,50,0
Masters,Male,Married,White-Collar,White,Private,59,40,1
School,Female,Widowed,Service,White,Private,73,9,0
HS-grad,Female,Divorced,Blue-Collar,Other,Private,61,40,0
Bachelors,Male,Single,Service,White,Private,28,43,0
Masters,Male,Married,Professional,White,Government,43,50,0
School,Male,Married,Blue-Collar,White,Private,47,40,0
Bachelors,Male,Married,Sales,White,Private,40,55,1
School,Male,Single,Blue-Collar,White,Government,35,40,0
Some-college,Male,Married,White-Collar,White,Government,25,40,1
HS-grad,Male,Single,Blue-Collar,White,Private,24,50,0
Bachelors,Female,Married,White-Collar,White,Private,32,40,1
HS-grad,Male,Married,Blue-Collar,White,Private,38,40,1
Assoc,Male,Married,Sales,White,Private,42,37,0
School,Female,Divorced,Sales,White,Private,45,40,0
Some-college,Female,Married,Service,White,Private,51,40,1
Assoc,Male,Married,Blue-Collar,White,Private,45,40,0
Bachelors,Male,Married,White-Collar,White,Private,59,60,1
HS-grad,Male,Married,Sales,White,Private,26,40,0
HS-grad,Female,Single,Service,White,Private,18,27,0
Some-college,Male,Married,Sales,White,Private,35,70,0
School,Female,Separated,Blue-Collar,Other,Private,43,50,0
Some-college,Male,Single,Professional,White,Self-Employed,23,50,0
HS-grad,Male,Married,Blue-Collar,White,Private,54,49,0
Some-college,Male,Married,White-Collar,White,Private,37,57,0
Assoc,Male,Married,Service,Other,Private,39,60,0
HS-grad,Female,Single,Sales,White,Private,44,40,0
Bachelors,Female,Single,White-Collar,White,Private,27,45,0
Some-college,Female,Single,White-Collar,White,Private,20,35,0
Assoc,Male,Single,Blue-Collar,White,Private,41,30,0
Some-college,Female,Divorced,Sales,White,Private,22,48,0
Doctorate,Male,Married,Professional,White,Private,48,40,1
HS-grad,Male,Single,Blue-Collar,White,Private,26,36,0
HS-grad,Male,Single,Blue-Collar,Other,Private,23,1,0
HS-grad,Male,Married,Blue-Collar,Other,Private,37,40,0
Bachelors,Male,Single,White-Collar,White,Private,47,50,0
HS-grad,Male,Married,Blue-Collar,White,Government,55,44,0
HS-grad,Male,Single,Blue-Collar,Other,Private,36,48,0
HS-grad,Male,Married,Service,White,Government,44,52,1
School,Male,Single,Blue-Collar,White,Private,27,50,0
Some-college,Female,Divorced,Sales,White,Private,27,40,0
Bachelors,Male,Married,Service,White,Private,52,50,0
HS-grad,Female,Married,White-Collar,White,Private,40,46,1
Assoc,Female,Single,Service,White,Private,30,40,0
HS-grad,Male,Married,Sales,White,Private,35,40,1
Some-college,Male,Married,Blue-Collar,White,Private,45,40,0
HS-grad,Male,Single,Blue-Collar,White,Private,28,48,0
HS-grad,Male,Married,Sales,White,Private,38,55,1
School,Male,Married,Sales,White,Self-Employed,23,40,0
HS-grad,Male,Married,Blue-Collar,White,Private,35,40,0
HS-grad,Male,Married,White-Collar,White,Private,60,40,0
HS-grad,Female,Single,Sales,White,Private,34,40,0
Some-college,Female,Single,White-Collar,White,Government,19,30,0
Some-college,Male,Separated,White-Collar,White,Government,37,40,0
School,Female,Single,Sales,White,Private,17,15,0
Assoc,Male,Married,Professional,White,Government,34,60,0
Bachelors,Male,Single,Professional,White,Government,24,40,0
Masters,Female,Single,White-Collar,White,Private,90,40,0
HS-grad,Male,Married,Blue-Collar,White,Private,40,35,0
HS-grad,Male,Single,Blue-Collar,Other,Private,44,40,0
Some-college,Female,Married,Sales,Other,Private,21,40,0
HS-grad,Male,Married,Other/Unknown,White,Other/Unknown,47,40,0
HS-grad,Male,Married,Blue-Collar,White,Private,29,40,0
Some-college,Female,Single,Blue-Collar,White,Private,36,40,0
Assoc,Male,Married,Blue-Collar,White,Private,38,50,1
Bachelors,Female,Married,White-Collar,White,Private,30,40,1
Some-college,Male,Married,Blue-Collar,White,Private,43,40,0
Bachelors,Female,Single,Professional,White,Private,40,45,0
Prof-school,Male,Married,Professional,White,Private,38,60,1
School,Male,Married,Service,White,Government,26,40,0
HS-grad,Male,Married,Blue-Collar,White,Private,51,40,0
Bachelors,Male,Married,White-Collar,White,Self-Employed,35,45,1
HS-grad,Female,Divorced,White-Collar,White,Government,31,40,0
Masters,Male,Married,Professional,White,Private,45,36,1
HS-grad,Female,Single,Service,White,Private,22,19,0
Some-college,Male,Married,Blue-Collar,White,Private,26,40,0
Some-college,Female,Widowed,Blue-Collar,White,Self-Employed,62,50,0
Some-college,Male,Married,White-Collar,White,Self-Employed,34,65,1
HS-grad,Male,Married,Professional,White,Government,54,40,0
Prof-school,Male,Married,Professional,White,Self-Employed,44,40,1
HS-grad,Male,Married,Service,White,Private,22,20,0
Some-college,Male,Married,Service,White,Private,30,45,0
Some-college,Female,Separated,Service,Other,Private,34,37,0
HS-grad,Female,Widowed,Blue-Collar,White,Government,59,40,0
Bachelors,Male,Single,Service,White,Private,25,40,0
School,Female,Married,Other/Unknown,White,Other/Unknown,32,40,0
Some-college,Male,Married,Sales,White,Private,25,40,0
Some-college,Male,Married,White-Collar,White,Self-Employed,57,40,0
Some-college,Female,Single,Service,White,Private,24,16,0
Some-college,Female,Single,White-Collar,White,Private,33,38,0
HS-grad,Male,Single,Service,White,Private,19,24,0
Bachelors,Male,Married,White-Collar,White,Private,66,55,1
School,Male,Married,Blue-Collar,White,Private,21,35,0
School,Female,Widowed,Service,Other,Government,59,30,0
HS-grad,Male,Married,Service,White,Private,38,40,0
HS-grad,Male,Married,White-Collar,Other,Government,48,50,1
Some-college,Female,Divorced,Blue-Collar,White,Government,52,40,0
HS-grad,Male,Married,Blue-Collar,White,Private,51,40,0
Some-college,Male,Single,Other/Unknown,White,Other/Unknown,18,40,0
HS-grad,Male,Married,White-Collar,Other,Government,33,40,0
Assoc,Male,Married,Sales,White,Self-Employed,37,40,1
HS-grad,Male,Divorced,Blue-Collar,White,Private,34,44,0
School,Male,Married,Sales,White,Private,40,40,0
HS-grad,Male,Married,White-Collar,White,Private,34,40,1
Some-college,Female,Divorced,White-Collar,White,Private,47,40,0
Bachelors,Male,Married,Blue-Collar,White,Self-Employed,42,65,0
School,Female,Divorced,Service,White,Private,32,40,0
School,Male,Married,Blue-Collar,White,Private,58,40,0
Bachelors,Male,Married,Blue-Collar,White,Private,32,40,1
Assoc,Female,Single,Service,White,Private,21,50,0
School,Female,Single,Sales,White,Private,18,20,0
HS-grad,Female,Married,White-Collar,White,Private,51,40,0
HS-grad,Male,Married,Blue-Collar,White,Private,36,50,1
Some-college,Male,Separated,Sales,White,Private,41,80,1
Bachelors,Female,Widowed,Professional,White,Government,71,6,0
Masters,Female,Married,Professional,White,Government,50,40,1
HS-grad,Male,Divorced,Blue-Collar,White,Private,54,45,0
Some-college,Female,Divorced,White-Collar,White,Private,32,50,1
Some-college,Male,Married,White-Collar,White,Self-Employed,41,60,0
HS-grad,Male,Married,Blue-Collar,White,Private,41,50,0
School,Male,Married,Blue-Collar,White,Government,51,40,0
Some-college,Male,Single,Professional,White,Private,32,44,0
HS-grad,Male,Single,Blue-Collar,White,Private,20,40,0
School,Male,Married,Blue-Collar,White,Private,28,50,0
School,Female,Single,Service,White,Private,18,40,0
Bachelors,Female,Single,White-Collar,White,Private,23,23,0
HS-grad,Male,Married,Blue-Collar,White,Private,39,40,1
Bachelors,Female,Single,Service,White,Private,23,25,0
Bachelors,Male,Married,Sales,White,Private,60,46,1
Masters,Male,Married,White-Collar,White,Private,55,40,1
Some-college,Male,Single,White-Collar,Other,Self-Employed,29,45,0
HS-grad,Male,Married,Blue-Collar,Other,Private,36,40,0
HS-grad,Male,Married,Blue-Collar,White,Private,27,40,1
Some-college,Female,Married,White-Collar,White,Private,56,50,1
Masters,Female,Widowed,Professional,White,Government,66,40,0
HS-grad,Male,Married,White-Collar,White,Private,47,40,0
Some-college,Female,Single,Service,White,Private,19,20,0
HS-grad,Female,Single,White-Collar,White,Private,54,40,0
Prof-school,Female,Married,Professional,White,Private,41,40,1
HS-grad,Male,Married,Blue-Collar,White,Self-Employed,43,60,0
HS-grad,Male,Married,Sales,White,Private,36,50,1
Assoc,Male,Married,Blue-Collar,White,Private,42,40,0
Some-college,Male,Single,White-Collar,White,Private,25,35,0
Some-college,Male,Single,Service,White,Private,26,44,0
Some-college,Female,Single,Sales,Other,Private,20,14,0
HS-grad,Male,Separated,Blue-Collar,White,Self-Employed,33,50,0
School,Male,Married,Service,White,Government,53,40,0
HS-grad,Male,Married,Blue-Collar,Other,Private,35,40,0
Some-college,Female,Single,Professional,Other,Private,21,4,0
Some-college,Female,Widowed,Service,White,Private,63,40,0
HS-grad,Male,Married,Service,White,Private,48,40,0
HS-grad,Male,Divorced,Blue-Collar,White,Private,35,35,0
Some-college,Male,Single,Service,White,Private,22,40,0
School,Male,Divorced,Blue-Collar,White,Private,40,40,0
HS-grad,Male,Married,White-Collar,White,Private,30,65,1
Bachelors,Female,Single,White-Collar,White,Private,36,50,0
HS-grad,Female,Divorced,White-Collar,White,Self-Employed,40,15,0
Some-college,Female,Single,White-Collar,White,Private,24,40,0
Doctorate,Male,Married,Professional,White,Private,52,40,1
Some-college,Male,Divorced,Service,White,Private,55,40,0
School,Male,Married,Blue-Collar,White,Private,33,40,0
School,Male,Married,Blue-Collar,White,Private,58,40,1
Some-college,Female,Single,Sales,White,Private,25,40,0
HS-grad,Female,Widowed,Service,Other,Government,54,40,0
HS-grad,Female,Divorced,White-Collar,White,Private,65,59,0
Assoc,Male,Married,Service,White,Private,52,40,0
HS-grad,Male,Married,White-Collar,White,Private,56,40,1
Prof-school,Male,Married,Professional,White,Self-Employed,48,35,1
HS-grad,Male,Single,Blue-Collar,White,Private,33,20,0
Bachelors,Male,Single,Professional,White,Self-Employed,28,50,1
HS-grad,Male,Single,Blue-Collar,Other,Private,27,48,0
Assoc,Female,Divorced,Professional,Other,Government,41,36,0
Some-college,Female,Single,White-Collar,White,Private,20,30,0
HS-grad,Female,Divorced,Service,White,Private,31,30,0
Some-college,Male,Divorced,Professional,White,Private,43,40,0
School,Female,Divorced,White-Collar,White,Private,53,48,0
School,Male,Single,Blue-Collar,White,Private,22,35,0
School,Male,Married,Blue-Collar,White,Private,37,48,0
Doctorate,Male,Married,Professional,White,Private,54,50,1
HS-grad,Female,Married,Other/Unknown,White,Other/Unknown,22,20,0
School,Male,Single,Service,White,Private,17,20,0
Some-college,Male,Single,Blue-Collar,Other,Private,20,40,0
Some-college,Female,Single,Blue-Collar,White,Private,42,40,0
Bachelors,Male,Married,White-Collar,White,Private,41,40,1
Some-college,Female,Divorced,White-Collar,White,Private,24,60,0
Some-college,Male,Single,White-Collar,White,Private,19,25,0
Bachelors,Female,Single,Sales,White,Self-Employed,29,40,0
Masters,Male,Single,Professional,White,Private,51,55,1
Prof-school,Male,Married,Professional,White,Government,44,40,1
Assoc,Female,Widowed,Professional,Other,Private,51,40,0
Bachelors,Male,Married,White-Collar,White,Private,34,48,1
HS-grad,Male,Married,Blue-Collar,White,Private,20,50,0
HS-grad,Female,Divorced,White-Collar,White,Private,46,40,0
School,Male,Married,Other/Unknown,White,Other/Unknown,78,40,0
Assoc,Male,Separated,Service,White,Private,28,40,0
School,Female,Widowed,Other/Unknown,Other,Other/Unknown,75,1,0
Bachelors,Male,Single,Service,White,Private,29,40,0
School,Male,Divorced,Blue-Collar,White,Self-Employed,43,25,0
HS-grad,Female,Married,Sales,White,Self-Employed,73,25,0
School,Female,Widowed,Other/Unknown,White,Other/Unknown,68,15,0
Assoc,Male,Single,Blue-Collar,White,Private,22,40,0
Some-college,Male,Single,White-Collar,White,Private,20,25,0
Some-college,Male,Married,Blue-Collar,White,Self-Employed,55,50,0
HS-grad,Male,Single,Blue-Collar,Other,Private,25,40,0
Masters,Male,Married,Sales,White,Self-Employed,62,45,1
Some-college,Male,Divorced,Blue-Collar,White,Private,43,35,0
HS-grad,Male,Married,White-Collar,White,Self-Employed,30,65,1
Masters,Male,Married,White-Collar,White,Self-Employed,51,50,1
Some-college,Female,Single,White-Collar,White,Private,39,45,0
Bachelors,Male,Single,Sales,White,Private,25,50,0
Some-college,Male,Married,Sales,White,Private,32,40,0
School,Male,Married,Blue-Collar,White,Private,36,40,0
HS-grad,Male,Married,Other/Unknown,White,Other/Unknown,62,40,1
Bachelors,Male,Married,Professional,White,Government,46,45,1
HS-grad,Female,Married,White-Collar,Other,Private,24,40,0
HS-grad,Female,Married,Other/Unknown,White,Other/Unknown,33,38,0
Bachelors,Male,Married,Professional,White,Private,62,40,1
School,Male,Married,Blue-Collar,White,Private,25,40,0
HS-grad,Male,Single,Other/Unknown,White,Other/Unknown,21,40,0
School,Male,Married,Sales,White,Self-Employed,38,40,1
Some-college,Female,Single,Service,Other,Private,41,40,0
HS-grad,Male,Married,White-Collar,White,Private,65,20,0
Some-college,Male,Single,Service,White,Government,37,40,0
HS-grad,Male,Married,Blue-Collar,White,Private,41,45,0
School,Male,Married,Blue-Collar,White,Private,25,40,0
Some-college,Male,Married,Sales,White,Private,26,18,0
HS-grad,Male,Married,Blue-Collar,White,Private,33,60,0
School,Female,Widowed,Service,White,Private,55,20,0
Some-college,Female,Single,Service,White,Private,28,40,0
School,Female,Separated,Blue-Collar,Other,Private,32,40,0
HS-grad,Male,Single,Blue-Collar,White,Private,35,70,0
Some-college,Male,Married,Blue-Collar,White,Private,58,40,1
Some-college,Female,Separated,Service,Other,Private,32,40,0
HS-grad,Male,Married,Blue-Collar,White,Private,37,40,0
Bachelors,Male,Married,White-Collar,White,Self-Employed,55,50,1
Bachelors,Male,Single,White-Collar,White,Private,24,30,0
Some-college,Male,Married,Sales,White,Self-Employed,65,40,0
HS-grad,Male,Married,Service,White,Government,28,40,0
Bachelors,Female,Divorced,Professional,White,Government,40,40,0
Doctorate,Male,Married,White-Collar,White,Private,55,60,1
HS-grad,Female,Single,Professional,White,Private,21,30,0
School,Male,Married,Service,White,Private,37,40,0
HS-grad,Female,Single,Sales,Other,Private,25,35,0
Assoc,Male,Single,Other/Unknown,White,Other/Unknown,23,40,0
HS-grad,Male,Single,Service,Other,Government,29,40,0
Bachelors,Male,Married,White-Collar,White,Government,33,42,1
Some-college,Female,Divorced,White-Collar,White,Private,33,40,0
School,Male,Single,Blue-Collar,White,Private,17,20,0
HS-grad,Female,Divorced,White-Collar,White,Private,24,40,0
HS-grad,Male,Divorced,Blue-Collar,White,Self-Employed,41,40,0
Bachelors,Female,Single,Sales,White,Private,29,40,0
Masters,Male,Married,White-Collar,White,Government,38,70,1
HS-grad,Male,Single,Service,White,Private,18,35,0
Some-college,Female,Single,White-Collar,White,Private,59,34,0
Bachelors,Male,Married,Sales,White,Government,43,60,0
Bachelors,Male,Married,Service,White,Private,44,40,0
Some-college,Female,Single,White-Collar,White,Private,27,45,0
Some-college,Male,Married,Blue-Collar,White,Private,45,40,1
HS-grad,Male,Divorced,Blue-Collar,White,Private,42,46,0
HS-grad,Female,Single,White-Collar,White,Private,27,52,0
Bachelors,Male,Single,Blue-Collar,White,Private,26,40,0
HS-grad,Female,Single,Service,White,Private,19,13,0
HS-grad,Male,Married,Blue-Collar,White,Private,53,40,0
Some-college,Male,Single,White-Collar,Other,Private,37,40,0
Assoc,Female,Married,Other/Unknown,White,Other/Unknown,65,56,1
HS-grad,Female,Married,Blue-Collar,White,Private,31,40,0
HS-grad,Female,Single,Other/Unknown,Other,Other/Unknown,34,35,0
Bachelors,Male,Married,White-Collar,White,Private,33,50,1
Masters,Male,Divorced,White-Collar,White,Private,57,40,1
HS-grad,Male,Married,Blue-Collar,White,Private,26,72,0
Bachelors,Male,Single,White-Collar,White,Government,45,55,1
HS-grad,Male,Divorced,Professional,White,Government,39,40,0
Assoc,Female,Single,Service,White,Private,35,30,0
HS-grad,Female,Married,Other/Unknown,White,Other/Unknown,28,20,0
Bachelors,Female,Single,White-Collar,Other,Private,46,40,0
HS-grad,Male,Single,Blue-Collar,White,Government,31,64,0
Some-college,Female,Divorced,White-Collar,White,Private,29,40,0
School,Male,Single,Blue-Collar,White,Private,20,40,0
Some-college,Male,Divorced,Blue-Collar,White,Private,34,40,0
Some-college,Male,Married,Blue-Collar,White,Private,25,40,0
Some-college,Male,Married,White-Collar,White,Self-Employed,43,40,0
HS-grad,Male,Single,Blue-Collar,White,Private,39,40,0
HS-grad,Male,Married,White-Collar,White,Self-Employed,37,60,0
HS-grad,Female,Single,Service,White,Private,20,38,0
Bachelors,Male,Married,Sales,White,Private,54,40,1
HS-grad,Male,Married,Sales,White,Private,39,40,0
Masters,Male,Married,Sales,White,Self-Employed,55,50,0
HS-grad,Male,Married,Blue-Collar,White,Private,52,40,1
Bachelors,Male,Married,Sales,White,Private,41,55,0
Doctorate,Male,Single,Professional,White,Private,30,40,0
Bachelors,Female,Divorced,Sales,White,Private,50,50,0
HS-grad,Female,Divorced,White-Collar,White,Private,38,40,0
Assoc,Male,Married,Blue-Collar,White,Private,38,40,1
Some-college,Female,Widowed,Service,White,Private,37,40,0
HS-grad,Male,Single,Blue-Collar,White,Private,29,50,0
HS-grad,Male,Separated,Blue-Collar,White,Self-Employed,33,50,0
HS-grad,Male,Married,White-Collar,White,Self-Employed,38,50,0
Some-college,Female,Married,Sales,White,Private,52,52,1
HS-grad,Male,Married,White-Collar,White,Self-Employed,70,16,0
HS-grad,Female,Single,Sales,White,Private,57,40,0
School,Male,Married,White-Collar,White,Self-Employed,68,16,0
Some-college,Male,Married,Blue-Collar,White,Private,37,50,1
HS-grad,Male,Married,White-Collar,White,Private,64,5,0
HS-grad,Male,Married,Blue-Collar,White,Private,55,40,1
Bachelors,Male,Single,Sales,White,Self-Employed,53,60,1
HS-grad,Male,Married,Blue-Collar,White,Private,27,60,0
HS-grad,Male,Married,White-Collar,White,Private,48,70,1
Assoc,Female,Single,White-Collar,Other,Private,21,35,0
School,Female,Divorced,Other/Unknown,White,Other/Unknown,67,40,0
Some-college,Male,Single,Blue-Collar,Other,Private,24,14,0
HS-grad,Male,Married,Blue-Collar,White,Private,32,55,0
HS-grad,Male,Divorced,Blue-Collar,White,Private,36,40,0
Bachelors,Male,Married,Sales,White,Private,39,55,1
Bachelors,Male,Married,Professional,White,Government,43,40,0
HS-grad,Male,Married,Service,White,Private,77,25,0
Some-college,Male,Married,White-Collar,White,Private,41,50,1
School,Female,Separated,Service,Other,Private,31,42,0
Some-college,Male,Married,Blue-Collar,White,Private,37,40,0
Assoc,Male,Married,Sales,White,Private,46,50,0
Bachelors,Male,Married,White-Collar,White,Self-Employed,36,40,0
Assoc,Male,Married,Sales,White,Private,31,40,1
HS-grad,Male,Widowed,Blue-Collar,White,Private,90,99,0
HS-grad,Male,Married,Blue-Collar,White,Private,30,45,0
HS-grad,Female,Single,Service,Other,Private,33,36,0
Bachelors,Male,Married,Professional,White,Private,30,35,1
HS-grad,Male,Single,Blue-Collar,White,Self-Employed,24,40,0
Bachelors,Male,Single,Professional,White,Private,32,40,0
Some-college,Male,Divorced,Blue-Collar,White,Private,49,45,0
HS-grad,Male,Married,Blue-Collar,White,Private,42,55,0
School,Male,Divorced,Blue-Collar,White,Private,34,43,0
Bachelors,Male,Married,Professional,White,Private,36,40,1
HS-grad,Male,Single,Sales,White,Self-Employed,26,50,0
Bachelors,Female,Single,White-Collar,White,Private,35,43,0
Some-college,Male,Divorced,Blue-Collar,White,Government,54,42,0
Bachelors,Female,Single,Service,White,Private,27,40,0
Masters,Male,Married,Professional,White,Government,32,50,0
Prof-school,Male,Married,Professional,White,Self-Employed,42,38,1
Some-college,Female,Widowed,White-Collar,White,Government,76,30,0
School,Male,Single,Service,White,Private,17,20,0
Some-college,Female,Divorced,White-Collar,White,Private,35,40,1
Some-college,Male,Divorced,Blue-Collar,White,Private,40,40,0
Some-college,Female,Single,Service,White,Government,24,40,0
Masters,Male,Married,Other/Unknown,White,Other/Unknown,77,6,1
Assoc,Male,Single,Service,White,Private,23,20,0
Some-college,Female,Single,Sales,White,Private,19,28,0
Bachelors,Male,Married,Blue-Collar,White,Private,45,45,1
Bachelors,Male,Married,White-Collar,White,Private,58,50,1
Some-college,Male,Married,Blue-Collar,White,Self-Employed,37,40,0
HS-grad,Female,Widowed,Other/Unknown,White,Other/Unknown,74,10,0
Some-college,Male,Married,Blue-Collar,White,Self-Employed,42,60,0
Some-college,Male,Married,Sales,White,Private,58,40,0
Bachelors,Male,Single,Professional,White,Private,26,40,0
Some-college,Male,Married,White-Collar,White,Private,52,40,1
Some-college,Male,Married,Service,White,Government,35,50,0
Assoc,Female,Married,Professional,White,Private,31,40,0
HS-grad,Male,Single,Blue-Collar,White,Private,34,30,0
HS-grad,Male,Single,Blue-Collar,White,Private,26,70,0
Some-college,Male,Single,Service,White,Government,38,12,0
School,Male,Single,Blue-Collar,White,Private,22,40,0
School,Female,Single,Sales,Other,Private,19,32,0
Assoc,Male,Divorced,Blue-Collar,Other,Private,37,48,0
Some-college,Male,Single,White-Collar,White,Government,23,30,0
Some-college,Male,Married,Sales,White,Self-Employed,46,60,1
HS-grad,Male,Single,Service,White,Private,35,40,0
School,Female,Single,Service,White,Private,47,40,0
Bachelors,Male,Single,Professional,White,Private,30,40,0
Masters,Male,Divorced,Professional,Other,Government,38,40,0
Bachelors,Male,Married,White-Collar,White,Private,39,70,0
Some-college,Female,Single,White-Collar,White,Private,27,39,0
Some-college,Male,Single,Blue-Collar,White,Private,23,40,0
Bachelors,Female,Single,Professional,White,Private,27,48,0
Some-college,Female,Single,White-Collar,Other,Private,21,40,0
HS-grad,Male,Married,Other/Unknown,White,Other/Unknown,24,40,0
HS-grad,Female,Single,Service,White,Private,21,35,0
Some-college,Male,Single,Blue-Collar,White,Private,19,20,0
Assoc,Male,Married,Sales,White,Private,30,45,1
Bachelors,Female,Single,Professional,White,Private,26,40,0
School,Female,Single,Sales,White,Private,19,25,0
HS-grad,Male,Single,Blue-Collar,Other,Private,30,40,0
Bachelors,Female,Married,Professional,White,Private,23,40,0
HS-grad,Male,Single,Blue-Collar,White,Private,23,40,0
School,Female,Separated,Blue-Collar,White,Private,46,40,0
Bachelors,Male,Married,White-Collar,White,Private,43,40,0
HS-grad,Male,Single,Blue-Collar,White,Private,28,40,0
HS-grad,Male,Married,Blue-Collar,White,Private,43,40,0
Some-college,Male,Separated,White-Collar,White,Private,37,62,0
School,Female,Divorced,Blue-Collar,White,Private,55,37,1
HS-grad,Female,Separated,White-Collar,White,Private,41,40,0
Bachelors,Female,Married,Professional,White,Self-Employed,33,50,1
Some-college,Male,Divorced,Blue-Collar,White,Private,53,20,0
Doctorate,Male,Married,Professional,White,Self-Employed,67,35,1
HS-grad,Female,Married,Service,White,Private,56,10,0
Bachelors,Male,Married,White-Collar,White,Private,30,70,0
HS-grad,Male,Married,Sales,White,Private,20,20,0
Some-college,Male,Married,Blue-Collar,White,Private,51,60,1
Bachelors,Male,Married,Sales,White,Private,25,50,0
HS-grad,Male,Married,Blue-Collar,Other,Private,49,40,0
HS-grad,Male,Single,Service,Other,Private,29,40,0
HS-grad,Male,Single,Blue-Collar,White,Private,39,60,0
School,Female,Single,Other/Unknown,White,Other/Unknown,20,30,0
HS-grad,Male,Married,Blue-Collar,Other,Private,36,40,0
Masters,Male,Married,White-Collar,Other,Self-Employed,52,40,0
HS-grad,Male,Married,Blue-Collar,White,Private,37,40,0
HS-grad,Male,Married,Service,White,Private,54,50,0
School,Male,Married,White-Collar,White,Private,26,40,0
HS-grad,Female,Divorced,Professional,White,Government,35,40,0
School,Male,Single,Blue-Collar,White,Private,23,40,0
HS-grad,Male,Married,Blue-Collar,White,Self-Employed,42,15,0
HS-grad,Male,Married,White-Collar,Other,Private,31,40,0
Some-college,Male,Single,Sales,White,Private,21,64,0
Bachelors,Female,Single,White-Collar,White,Self-Employed,26,40,0
Some-college,Female,Married,Sales,Other,Private,32,40,0
Bachelors,Female,Separated,White-Collar,White,Private,28,50,1
HS-grad,Female,Single,Sales,White,Private,18,20,0
School,Male,Single,Blue-Collar,White,Private,18,12,0
Masters,Male,Single,Professional,White,Private,30,40,1
Masters,Female,Divorced,Sales,White,Private,50,45,0
HS-grad,Female,Divorced,White-Collar,Other,Private,32,40,0
HS-grad,Male,Married,Blue-Collar,White,Private,25,40,1
HS-grad,Male,Single,Professional,White,Private,38,40,0
HS-grad,Male,Married,Blue-Collar,White,Private,39,50,1
Bachelors,Male,Single,Professional,White,Government,39,35,0
HS-grad,Female,Divorced,Service,White,Self-Employed,49,40,0
Masters,Male,Married,Professional,White,Private,41,40,1
School,Male,Single,Service,White,Private,28,52,0
HS-grad,Female,Separated,Service,Other,Private,49,35,0
School,Male,Married,Blue-Collar,White,Private,36,40,0
Masters,Male,Married,White-Collar,White,Self-Employed,37,60,1
HS-grad,Female,Divorced,Blue-Collar,White,Private,42,40,0
Bachelors,Male,Married,Professional,Other,Government,57,40,1
HS-grad,Male,Single,White-Collar,White,Private,25,40,0
Masters,Male,Married,White-Collar,White,Private,54,52,1
School,Male,Single,Blue-Collar,Other,Self-Employed,36,40,0
Bachelors,Male,Single,Sales,White,Private,27,40,0
Assoc,Female,Divorced,Service,White,Private,67,24,0
HS-grad,Female,Separated,Blue-Collar,Other,Private,47,40,0
School,Female,Married,Service,White,Private,59,99,0
